image_id,image_path,split,crop_type,growth_stage,health_status,severity,early_blight,late_blight,powdery_mildew,leaf_spot,bacterial_spot,viral_infection,fungal_infection,aphids,whiteflies,thrips,spider_mites,caterpillars,nutrient_deficiency,water_stress,heat_stress,salt_stress,light_stress
img_001,full_plant_images/img_001.jpg,test,maize,vegetative,healthy,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
img_002,full_plant_images/img_002.jpg,test,chili,vegetative,stressed,2,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0
img_003,full_plant_images/img_003.jpg,train,tomato,fruiting,diseased,2,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0
img_004,full_plant_images/img_004.jpg,train,wheat,vegetative,diseased,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
img_005,full_plant_images/img_005.jpg,train,tomato,vegetative,healthy,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
img_006,full_plant_images/img_006.jpg,train,maize,fruiting,stressed,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
img_007,full_plant_images/img_007.jpg,val,maize,fruiting,healthy,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
img_008,full_plant_images/img_008.jpg,train,maize,fruiting,stressed,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1
img_009,full_plant_images/img_009.jpg,train,wheat,vegetative,healthy,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
img_010,full_plant_images/img_010.jpg,train,wheat,vegetative,stressed,2,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1
img_011,full_plant_images/img_011.jpg,train,tomato,vegetative,healthy,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
img_012,full_plant_images/img_012.jpg,train,wheat,fruiting,diseased,2,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
img_013,full_plant_images/img_013.jpg,val,wheat,flowering,healthy,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
img_014,full_plant_images/img_014.jpg,train,cotton,fruiting,diseased,2,0,1,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0
img_015,full_plant_images/img_015.jpg,val,potato,fruiting,diseased,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
img_016,full_plant_images/img_016.jpg,train,potato,flowering,diseased,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
img_017,full_plant_images/img_017.jpg,train,maize,flowering,healthy,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
img_018,full_plant_images/img_018.jpg,val,potato,flowering,healthy,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
img_019,full_plant_images/img_019.jpg,train,tomato,flowering,stressed,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0
img_020,full_plant_images/img_020.jpg,train,wheat,vegetative,healthy,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
img_021,full_plant_images/img_021.jpg,test,rice,flowering,diseased,2,1,0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0
img_022,full_plant_images/img_022.jpg,val,potato,vegetative,healthy,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
img_023,full_plant_images/img_023.jpg,train,potato,fruiting,healthy,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
img_024,full_plant_images/img_024.jpg,test,chili,fruiting,stressed,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1
img_025,full_plant_images/img_025.jpg,test,cotton,fruiting,healthy,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
img_026,full_plant_images/img_026.jpg,train,tomato,flowering,stressed,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
img_027,full_plant_images/img_027.jpg,train,tomato,flowering,diseased,2,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
img_028,full_plant_images/img_028.jpg,train,tomato,fruiting,healthy,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
img_029,full_plant_images/img_029.jpg,train,wheat,fruiting,stressed,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
img_030,full_plant_images/img_030.jpg,val,rice,flowering,diseased,2,0,0,0,1,0,1,0,1,1,1,0,0,0,0,0,0,0
